"ProductName,ProductCode,CategoryName,CategoryCode"
"Laptop,D001,Electronics,C001"
"Smartphone,D002,Electronics,C001"
"Washing Machine,D003,Home Appliances,C002"
"Refrigerator,D004,Home Appliances,C002"
"Microwave,D005,Home Appliances,C002"
"Desk Chair,D006,Furniture,C003"
"Dining Table,D007,Furniture,C003"
"T-Shirt,D008,Clothing,C004"
"Jeans,D009,Clothing,C004"
"Running Shoes,D010,Sports,C005"
"Basketball,D011,Sports,C005"
"Yoga Mat,D012,Sports,C005"
"Book - Science Fiction,D013,Books,C006"
"Book - Mystery,D014,Books,C006"
"Guitar,D015,Musical Instruments,C007"
"Keyboard Piano,D016,Musical Instruments,C007"
"Headphones,D017,Electronics,C001"
"Smartwatch,D018,Electronics,C001"
"Gaming Laptop,D019,Electronics,C001"
"Tablet,D020,Electronics,C001"
"Vacuum Cleaner,D021,Home Appliances,C002"
"Air Conditioner,D022,Home Appliances,C002"
"Blender,D023,Home Appliances,C002"
"Office Chair,D024,Furniture,C003"
"Bookshelf,D025,Furniture,C003"
"Hoodie,D026,Clothing,C004"
"Jacket,D027,Clothing,C004"
"Football Shoes,D028,Sports,C005"
"Tennis Racket,D029,Sports,C005"
"Jump Rope,D030,Sports,C005"
"Book - Fantasy,D031,Books,C006"
"Book - Biography,D032,Books,C006"
"Drum Set,D033,Musical Instruments,C007"
"Violin,D034,Musical Instruments,C007"
"Wireless Earbuds,D035,Electronics,C001"
"Fitness Tracker,D036,Electronics,C001"